CompanyName,TelNum,Address,Latitude,Longitude
3R Quest Sdn Bhd,06-6853123/3133,"Lot 1620, Jalan Perusahaan 2/1, Kawasan Perindustrian Chembong, 71300 Rembau, Negeri Sembilan",2.6102708,102.0726164
5E Resources Sdn Bhd,07-2521388,Plot 738 Jalan Platinum Utama Zon 12B Kwsn Perindustrian Pasir Gudang Johor.,1.4671496,103.887129
AB Green Solutions Sdn Bhd,013-7178185,"Lot B-7, Kompleks Kilang SME Bank Kota Bharu, Kawasan Perindustrian Pengkalan Chepa Fasa 1, Jalan Padang Tembak 16100, Kota Bharu, Kelantan",6.139171,102.297627
AEON Bandaraya Melaka (Cawangan Meriahtek),017-4572526,"2, Jalan Lagenda Taman 1 Lagenda, 75400 Melaka",2.2119186,102.2475888
Aer Worldwide Sdn. Bhd,04-6266094,"No 11, Solok Beringin, Jalan Permatang Damar Laut, 11900 Bayan Lepas, Pulau Pinang",5.2832336,100.272851
Akshani Sdn. Bhd,019-4460 077 / 04-4483 112,"No. 6, Jalan Makmur 1, Bukit Makmur Industrial Park, 08000 Sungai Petani, Kedah",5.6929167,100.5128276
Alif Marketing,03-77854418,"No 44, Jalan 10/152, Taman Perindustrian OUG Jalan Puchong Bt. 6 58200 Kuala Lumpur",3.0685522,101.6612667
AM Metal Industries,014-3242642,"No. 9-11, Jalan 5, Kawasan Perindustrian Wawasan, 86000 Kluang, Johor",2.0354655,103.3013836
Apple PC Enterprise,07-5575688,"No. 19, Jalan Emas Putih, Taman Sri Putri, 81300 Skudai, Johor",1.5446467,103.655552
Asajaya Recycling Centre Kajang (Tzu Chi),03-6256 3800,"2 Jalan Asa 11 Taman Asajaya, 43000 Kajang, Selangor",2.9870484,101.8176587
Awie Metal Sdn Bhd,013-983 4313,"Lot 11815 Kawasan Perindustrian Batu 7, 23000 Dungun, Terengganu",4.7121719,103.3980067
Banting Recycling Centre (Tzu Chi),03-3382 0066 / 0660,"Lot 624 Jalan Teluk Bunut, 42700 Banting, Selangor",2.8262538,101.5139249
Bayu Quantum Sdn Bhd,017-338 5340,"No.33, Jalan 5 Klang Central Industrial Park, Off Lorong Sg Puloh, Batu 5 Jalan Kapar, 41400 Klang, Selangor",3.0511183,101.4476879
Bayu Tinggi Recycling Centre (Tzu Chi),03-62563800,"49, Lorong Sentosa 4A, Taman Bayu Tinggi, 41200 Klang, Selangor",3.0123576,101.4303207
Broga Recycling Centre (Tzu Chi),03-62563800,"6, Kampung Baru Tarun Broga, 43500 Semenyih, Selangor",2.9367511,101.9098535
Bukit Anggerik Recycling Centre (Tzu Chi),03-62563800,"Persatuan Kebajikan Cheras, KM10 KL, No. 69, Jalan 34/154, Taman Dahlia Cheras, 56000 Kuala Lumpur",3.0575861,101.7478977
Bukit Beruntung Recycling Centre (Tzu Chi),03-6256 3800,"15, Jalan Jejarum 1D Bukit Beruntung, 48000 Rawang, Selangor",3.4096545,101.5629745
Bukit Jelutong Recycling Centre (Tzu Chi),03-62563800,"Jalan Pelapik U8/46, Bukit Jelutong, 40150 Shah Alam, Selangor (opposite Ulam Desa Restaurant)",3.1150499,101.5257437
Bukit Kuchai Recycling Centre (Tzu Chi),03-6256 3800,"Pusat Kitar Semula Bukit Kuchai, Jalan 26 Taman Bukit Kuchai, 47100 Puchong",3.0570133,101.635685
Bukit Sentosa Recycling Centre (Tzu Chi),03-62563800,"No.19 Jalan Orkid 2A BS1, Bukit Sentosa, 48300 Rawang, Selangor",3.4016083,101.5578734
CB Amman Trading,03-42883466,"No. 16C, Jalan 21, Off Jalan Kuari, Cheras Baru, 56100 Kuala Lumpur",3.1064958,101.7429745
Cempaka Recycling Centre (Tzu Chi),03-6256 3800,"PJU1/27, 47301 Petaling Jaya, Selangor",3.1169705,101.597536
Cenviro Recycling & Recovery Sdn Bhd,06-666 2000,"Ladang Tanah Merah A3 Division, 71960 Bukit Pelandok Port Dickson, Negeri Sembilan",2.65855,101.8012693
Cheras Batu 9 Recycling Centre (Tzu Chi),03-62563800,"Kampung Pasar Bt. 9, Jalan 8, 43200 Cheras, Selangor",3.0593257,101.7603874
Cheras Utama Recycling Centre (Tzu Chi),03-62563800,"Pasar Cheras Utama, Jalan 9/95B, Taman Cheras Utama, 56100 Kuala Lumpur",3.1031645,101.75065
Chew Ying Meng Trading,019-2049809,"3368-7, Jalan Raya Empat, Taman Raya, 27000 Jerantut, Pahang",3.9419733,102.3626603
Comet Recycle Sdn Bhd,04-5050 803,"Plot 224, Jalan Perindustrian Bukit Minyak 7, Bukit Minyak Industrial Park, 14000 Bukit Mertajam, Pulau Pinang",5.3099209,100.4524272
Cycle Trend Industries Sdn Bhd,04-5078089 / 012-5059994,"1001, Jalan Perindustrian Bukit Minyak, Kawasan Perindustrian Bukit Minyak, 14100 Simpang Ampat, SPT, Penang.",5.2908395,100.4542142
Damansara 5 Recycling Centre (Tzu Chi),03-62563800,"SH- 7, Ground Floor, Commercial Centre Bandar Sri Damansara 13C, Jalan Tembaga SD 5/2A, 52200 Kuala Lumpur",3.2018194,101.6190742
Data Xpert Sdn Bhd,04-2409728,"72-1-69, Jalan Mahsuri, Arena Curve, 11950 Bayan Lepas, Pulau Pinang",5.3258637,100.2806816
Desa Aman Recycling Centre (Tzu Chi),03-62563800,"206, Jalan D/A 3, Desa Aman, Batu 11, 47000 Sungai Buloh, Selangor",3.2089276,101.5987779
Desa Park City Reycling Centre (Tzu Chi),03-6256 3800,"Lot 62181 Persiaran Residen Desa Park City, 52200 Kuala Lumpur ( near to The Breezeway Southlake Safa residential area)",3.1869971,101.6279324
Dewan Bandaraya Kota Kinabalu,088-244000,"Dewan Bandaraya Kota Kinabalu, Pusat Lestari Kota Kinabalu, Dewan Masyarakat Kota Kinabalu, Jalan Dewan Kota Kinabalu, 88675 Kota Kinabalu, Sabah",5.9846951,116.0784519
Dragon Alliance Sdn Bhd,04-5981 600,"No 27, Lorong Industri II, Kawasan Industri Bukit Panchor, 14300 Nibong Tebal, Pulau Pinang",5.1738717,100.4990313
E Plus Resources,012-7381633,"Lot 10480 B1 & B2, Jalan Kebun Nenas, 41200 Klang, Selangor",2.993835,101.4708093
