Item,Plastic,Aluminium,Copper,waste,CO2,Drive,
tv,624,2,33,18.13,63,17,D
laptop,114,68,12,2.9,3.21,1,D
mouse,14,2,2,0.3,5.51,1,N
remote,12,1,1,0.4,2.4,,N
keyboard,35,3,3,0.37,0.08,,N
cell phone,6,2,1,0.13,0.14,0,D
microwave,190,61,128,13.6,15.03,4,D
oven,190,61,128,13.6,15.03,4,D
toaster,,,,,,,N
refrigerator,2525,284,153,90,102,28,D
hair drier,17,2,4,0.4,0.44,0,D
printer,868,0,30,14.2,15.69,4,D
Camera,11,3,4,0.27,20,,N
washing machine,1071,217,92,65.7,156,43,D
air contitioner,692,203,828,36.82,68,19,
water heater,1300,69,40,22.3,24.65,7,
router,58,0,0,2.05,2.27,1,
